FID,id,navn,navnekategori,navnekategori_txt,wkb_geometry
stednavn_punkt.fid--200d312a_166e1b25641_4016,26,Hillerødgade Bad og Hal,17249,Idrætshaller,POINT (12.539571021489653 55.696709769988864)
stednavn_punkt.fid--200d312a_166e1b25641_4017,27,Københavns Skyttecenter,17249,Idrætshaller,POINT (12.552999765914207 55.63588592640248)
stednavn_punkt.fid--200d312a_166e1b25641_4018,28,Motorbanen,17249,Idrætshaller,POINT (12.563109476970908 55.642136175639486)
stednavn_punkt.fid--200d312a_166e1b25641_4019,29,Vigerslevparken ,17249,Idrætshaller,POINT (12.500616875541464 55.64301394486279)
stednavn_punkt.fid--200d312a_166e1b25641_401a,30,Gl. Køge Landevej ,17249,Idrætshaller,POINT (12.50419474436913 55.65297974873978)
stednavn_punkt.fid--200d312a_166e1b25641_401b,31,Svanemøllehallen ,17249,Idrætshaller,POINT (12.578719482195991 55.71422673580446)
stednavn_punkt.fid--200d312a_166e1b25641_401c,32,Østerbrohuset,17249,Idrætshaller,POINT (12.587911329581212 55.70749322486865)
stednavn_punkt.fid--200d312a_166e1b25641_401d,33,Ørestad Streethal,17249,Idrætshaller,POINT (12.582784012048961 55.63581895441204)
stednavn_punkt.fid--200d312a_166e1b25641_401e,34,Ørestad Skøjtehal,17249,Idrætshaller,POINT (12.572412881365382 55.62504729925764)
stednavn_punkt.fid--200d312a_166e1b25641_401f,35,Østre Skøjtehal ,17249,Idrætshaller,POINT (12.58305905662809 55.71163343733185)
stednavn_punkt.fid--200d312a_166e1b25641_4020,36,Fælledklubhuset ,17249,Idrætshaller,POINT (12.563813205728543 55.70594642376108)
stednavn_punkt.fid--200d312a_166e1b25641_4021,37,Svanemølleanlægget,17249,Idrætshaller,
"stednavn_punkt.fid--200d312a_166e1b25641_4022,1,Karens Hus,18147,""Medborger-, Kulturhus"",POINT (12.540234495419215 55.71087054231686)"
"stednavn_punkt.fid--200d312a_166e1b25641_4023,2,Støberiet,18147,""Medborger-, Kulturhus"",POINT (12.556770109039634 55.68609122692412)"
"stednavn_punkt.fid--200d312a_166e1b25641_4024,3,Rytterskolen,18147,""Medborger-, Kulturhus"",POINT (12.49797241530816 55.70389177835532)"
"stednavn_punkt.fid--200d312a_166e1b25641_4025,4,Kulturhuset Pilegården,18147,""Medborger-, Kulturhus"",POINT (12.498025892355757 55.701865277416005)"
"stednavn_punkt.fid--200d312a_166e1b25641_4026,5,Kulturstationen Vanløse,18147,""Medborger-, Kulturhus"",POINT (12.491065844939982 55.68706828063159)"
"stednavn_punkt.fid--200d312a_166e1b25641_4027,6,Christianshavns Beboerhus ,18147,""Medborger-, Kulturhus"",POINT (12.590967441124645 55.67124804182475)"
